"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,1,NA,NA,1,NA,NA,NA
"3",NA,1,NA,NA,1,NA,NA,NA
"4",NA,1,NA,NA,1,NA,NA,NA
"5",NA,1,NA,NA,1,NA,NA,NA
"6",NA,1,NA,NA,1,NA,NA,NA
"7",NA,1,NA,NA,1,NA,NA,NA
"8",NA,1,NA,NA,1,NA,NA,NA
"9",NA,1,NA,NA,1,NA,NA,NA
"10",NA,1,NA,NA,1,NA,NA,NA
"11",NA,1,NA,NA,1,NA,NA,NA
"12",NA,1,NA,NA,1,NA,NA,NA
"13",NA,1,NA,NA,1,NA,NA,NA
"14",NA,1,NA,NA,1,NA,NA,NA
"15",NA,1,NA,NA,1,NA,NA,NA
"16",NA,1,NA,NA,1,NA,NA,NA
"17",NA,1,NA,NA,1,NA,NA,NA
"18",NA,1,NA,NA,1,NA,NA,NA
"19",NA,1,NA,NA,1,NA,NA,NA
"20",NA,1,NA,NA,1,NA,NA,NA
"21",NA,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"22",NA,1,NA,NA,1,NA,NA,NA
"23",NA,1,NA,NA,1,NA,NA,NA
"24",NA,1,NA,NA,1,NA,NA,NA
"25",NA,1,NA,NA,1,NA,NA,NA
"26",NA,1,NA,NA,1,NA,NA,NA
"27",NA,1,NA,NA,1,NA,NA,NA
"28",NA,1,NA,NA,1,NA,NA,NA
"29",NA,1,NA,NA,1,NA,NA,NA
"30",NA,1,NA,NA,1,NA,NA,NA
"31",NA,1.25,NA,NA,1.25,NA,NA,NA
"32",NA,1,NA,NA,1,NA,NA,NA
"33",NA,1,NA,NA,1,NA,NA,NA
"34",NA,1,NA,NA,1,NA,NA,NA
"35",NA,1,NA,NA,1,NA,NA,NA
"36",NA,1,NA,NA,1,NA,NA,NA
"37",NA,1,NA,NA,1,NA,NA,NA
"38",NA,1,NA,NA,1,NA,NA,NA
"39",NA,1,NA,NA,1,NA,NA,NA
"40",NA,1,NA,NA,1,NA,NA,NA
"41",NA,1.2,NA,NA,1.2,NA,NA,NA
"42",NA,1,NA,NA,1,NA,NA,NA
"43",NA,1,NA,NA,1,NA,NA,NA
"44",NA,1,NA,NA,1,NA,NA,NA
"45",NA,1,NA,NA,1,NA,NA,NA
"46",NA,1,NA,NA,1,NA,NA,NA
"47",NA,1.16666666666667,NA,NA,1.16666666666667,NA,NA,NA
"48",NA,1,NA,NA,1,NA,NA,NA
"49",NA,1,NA,NA,1,NA,NA,NA
"50",NA,1.14285714285714,NA,NA,1.14285714285714,NA,NA,NA
"51",NA,1,NA,NA,1,NA,NA,NA
"52",NA,1.25,NA,NA,1.25,NA,NA,NA
"53",NA,0.9,NA,NA,0.9,NA,NA,NA
"54",NA,1,NA,NA,1,NA,NA,NA
"55",NA,1,NA,NA,1,NA,NA,NA
"56",NA,1.11111111111111,NA,NA,1.11111111111111,NA,NA,NA
"57",NA,1,NA,NA,1,NA,NA,NA
"58",NA,1,NA,NA,1,NA,NA,NA
"59",NA,1,NA,NA,1,NA,NA,NA
"60",NA,1,NA,NA,1,NA,NA,NA
"61",NA,1.1,NA,NA,1.1,NA,NA,NA
"62",NA,1,NA,NA,1,NA,NA,NA
"63",NA,1,NA,NA,1,NA,NA,NA
"64",NA,1,NA,NA,1,NA,NA,NA
"65",NA,1.09090909090909,NA,NA,1.09090909090909,NA,NA,NA
"66",NA,1.08333333333333,NA,NA,1.08333333333333,NA,NA,NA
"67",NA,1.07692307692308,NA,NA,1.07692307692308,NA,NA,NA
"68",NA,1,NA,NA,1,NA,NA,NA
"69",NA,1,NA,NA,1,NA,NA,NA
"70",NA,1,NA,NA,1,NA,NA,NA
"71",NA,1,NA,NA,1,NA,NA,NA
"72",NA,1.07142857142857,NA,NA,1.07142857142857,NA,NA,NA
"73",NA,1.06666666666667,NA,NA,1.06666666666667,NA,NA,NA
"74",NA,1,NA,NA,1,NA,NA,NA
"75",NA,1.0625,NA,NA,1.0625,NA,NA,NA
"76",NA,1,NA,NA,1,NA,NA,NA
"77",NA,1.05882352941176,NA,NA,1.05882352941176,NA,NA,NA
"78",NA,1,NA,NA,1,NA,NA,NA
"79",NA,1,NA,NA,1,NA,NA,NA
"80",NA,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"81",NA,0.958333333333333,NA,NA,0.958333333333333,NA,NA,NA
"82",NA,1,NA,NA,1,NA,NA,NA
"83",NA,1.04347826086957,NA,NA,1.04347826086957,NA,NA,NA
"84",NA,1,NA,NA,1,NA,NA,NA
"85",NA,1.04166666666667,NA,NA,1.04166666666667,NA,NA,NA
"86",NA,1.16,NA,NA,1.16,NA,NA,NA
"87",NA,1,NA,NA,1,NA,NA,NA
"88",NA,1.03448275862069,NA,NA,1.03448275862069,NA,NA,NA
"89",NA,1.03333333333333,NA,NA,1.03333333333333,NA,NA,NA
"90",NA,1.06451612903226,NA,NA,1.06451612903226,NA,NA,NA
"91",NA,1.03030303030303,NA,NA,1.03030303030303,NA,NA,NA
"92",NA,1.05882352941176,NA,NA,1.05882352941176,NA,NA,NA
"93",NA,1.02777777777778,NA,NA,1.02777777777778,NA,NA,NA
"94",NA,1.05405405405405,NA,NA,1.05405405405405,NA,NA,NA
"95",NA,1.1025641025641,NA,NA,1.1025641025641,NA,NA,NA
"96",NA,1,NA,NA,1,NA,NA,NA
"97",NA,1.06976744186047,NA,NA,1.06976744186047,NA,NA,NA
"98",NA,1.02173913043478,NA,NA,1.02173913043478,NA,NA,NA
"99",NA,1.06382978723404,NA,NA,1.06382978723404,NA,NA,NA
"100",NA,1.08,NA,NA,1.08,NA,NA,NA
"101",NA,1,NA,NA,1,NA,NA,NA
"102",NA,1.05555555555556,NA,NA,1.05555555555556,NA,NA,NA
"103",NA,1.03508771929825,NA,NA,1.03508771929825,NA,NA,NA
"104",NA,1.16949152542373,NA,NA,1.16949152542373,NA,NA,NA
"105",NA,1.02898550724638,NA,NA,1.02898550724638,NA,NA,NA
"106",NA,1.07042253521127,NA,NA,1.07042253521127,NA,NA,NA
"107",NA,1.01315789473684,NA,NA,1.01315789473684,NA,NA,NA
"108",NA,1.01298701298701,NA,NA,1.01298701298701,NA,NA,NA
"109",NA,1.06410256410256,NA,NA,1.06410256410256,NA,NA,NA
"110",NA,1.09638554216867,NA,NA,1.09638554216867,NA,NA,NA
"111",NA,1.04395604395604,NA,NA,1.04395604395604,NA,NA,NA
"112",NA,1.02105263157895,NA,NA,1.01052631578947,NA,NA,NA
"113",NA,1.07216494845361,NA,NA,1.07291666666667,NA,NA,NA
"114",NA,1.07692307692308,NA,NA,1.0873786407767,NA,NA,NA
"115",NA,1.0625,NA,NA,1.0625,NA,NA,NA
"116",NA,1.02521008403361,NA,NA,1.02521008403361,NA,NA,NA
"117",NA,1.0655737704918,NA,NA,1.0655737704918,NA,NA,NA
"118",NA,1.03846153846154,NA,NA,1.03076923076923,NA,NA,NA
"119",NA,1.05185185185185,NA,NA,1.05970149253731,NA,NA,NA
"120",NA,1.03521126760563,NA,Inf,1.02816901408451,NA,NA,NA
"121",NA,1.06122448979592,NA,1,1.06849315068493,NA,NA,NA
"122",NA,1.10897435897436,NA,1,1.10897435897436,NA,NA,NA
"123",NA,1.0635838150289,NA,1,1.05780346820809,NA,NA,NA
"124",NA,0.945652173913043,NA,1,0.945355191256831,NA,NA,NA
"125",NA,1.08045977011494,NA,1,1.08092485549133,NA,NA,NA
"126",NA,1.01595744680851,NA,1,1.01604278074866,NA,NA,NA
"127",NA,1.01570680628272,NA,2,1.01052631578947,NA,NA,NA
"128",NA,1.01030927835052,NA,1,1.01041666666667,NA,NA,NA
"129",NA,1.07142857142857,NA,1.5,1.06701030927835,NA,NA,NA
"130",NA,1.12380952380952,NA,1,1.1256038647343,NA,NA,NA
"131",NA,1.02966101694915,NA,1.33333333333333,1.02575107296137,NA,NA,NA
"132",NA,1.05349794238683,NA,1,1.05439330543933,NA,NA,NA
"133",NA,1.0625,NA,0.75,1.06746031746032,NA,NA,NA
"134",NA,1.01102941176471,NA,1.33333333333333,1.00743494423792,NA,NA,NA
"135",NA,1.00727272727273,Inf,1,1.00738007380074,NA,NA,NA
"136",NA,1.014440433213,2,1.25,1.00732600732601,NA,NA,NA
"137",NA,1.04982206405694,1.5,1,1.04363636363636,NA,NA,NA
"138",NA,1.10847457627119,1.66666666666667,1,1.10452961672474,NA,NA,NA
"139",NA,1,0.6,1.2,1.00315457413249,NA,NA,NA
"140",NA,1.08868501529052,1,1.33333333333333,1.08490566037736,NA,NA,NA
"141",NA,1.04494382022472,0.666666666666667,1.125,1.04347826086957,NA,NA,NA
"142",NA,1.00537634408602,1,1,1.00833333333333,NA,NA,NA
"143",NA,0.989304812834225,1,1.11111111111111,0.986225895316804,NA,NA,NA
"144",NA,1.03513513513514,1,0.9,1.0391061452514,NA,NA,NA
"145",NA,1.06005221932115,1,1.22222222222222,1.05645161290323,NA,NA,NA
"146",NA,1.0320197044335,1,1.09090909090909,1.03053435114504,NA,NA,NA
"147",NA,1.05011933174224,1,1.08333333333333,1.04938271604938,NA,NA,NA
"148",NA,1.05681818181818,1,1,1.05647058823529,NA,NA,NA
"149",NA,1.09032258064516,1.5,1.07692307692308,1.09354120267261,NA,NA,NA
"150",NA,1.05325443786982,1,1.14285714285714,1.04887983706721,NA,NA,NA
"151",NA,1.03370786516854,1.33333333333333,1.125,1.03106796116505,NA,NA,NA
"152",NA,1.02536231884058,1,1.05555555555556,1.0225988700565,NA,NA,NA
"153",NA,1.09010600706714,1,1.05263157894737,1.09208103130755,NA,NA,NA
"154",NA,1.01134521880065,1,1.15,1.00674536256324,NA,NA,NA
"155",NA,1.0625,1.25,1,1.06532663316583,NA,NA,NA
"156",NA,1.06636500754148,1,1,1.06918238993711,NA,NA,NA
