date,julian_date,lake,sample_date,depth_m,water_temp_c,barometric_pressure_mmhg,dissolved_oxygen_percent_per_liter,dissolved_oxygen_mgL,conductivity_uScm,ph,ysi_salinity_ppt
11-Sep,13254,Murray,12,1,27,747.5,106.9,8.28,871,8.63,0.41
11-Sep,13254,Murray,12,2,26.9,747.4,77.9,5.95,870,8.61,0.41
11-Sep,13254,Murray,12,3,26.9,747.4,68,5.27,870,8.61,0.41
11-Sep,13254,Murray,12,4,26.9,747.4,65.6,5.19,870,8.6,0.41
11-Sep,13254,Murray,12,5,26.9,747.4,67,5.12,869,8.68,0.41
11-Sep,13254,Murray,12,7,26.4,747.4,58.7,4.66,857,8.5,0.41
11-Sep,13254,Murray,12,9,25.8,747.3,9.5,0.72,850,8.16,0.41
11-Sep,13254,Murray,12,11,23.9,747.4,4.2,0.34,821,8.1,0.41
11-Sep,13254,Murray,12,13,19.7,747.3,2.6,0.23,687,8.04,0.38
11-Sep,13254,Murray,12,15,16.4,747.3,2.6,0.25,631,8.01,0.37
11-Sep,13254,Murray,12,17,16.1,747.3,2.7,0.27,638,7.96,0.38
11-Sep,13254,Miramar,12,1,27.1,742.6,83.4,6.4,907,8.41,0.43
11-Sep,13254,Miramar,12,3,27,742.6,66.9,4.97,904,8.38,0.42
11-Sep,13254,Miramar,12,5,27,742.5,58.6,4.54,904,8.37,0.42
11-Sep,13254,Miramar,12,7,27,742.5,55.8,4.35,903,8.33,0.42
11-Sep,13254,Miramar,12,9,26.9,742.5,54.1,4.15,902,8.3,0.42
11-Sep,13254,Miramar,12,11,26.8,742.6,53.1,4.13,897,8.26,0.42
11-Sep,13254,Miramar,12,13,26.3,742.6,45.8,3.51,885,8.17,0.42
11-Sep,13254,Miramar,12,15,26,742.6,39.3,3.09,878,8.1,0.42
11-Sep,13254,Miramar,12,17,24.2,742.6,12.8,0.95,833,8,0.41
11-Sep,13254,Miramar,12,18,21.3,742.7,2.4,0.2,680,7.95,0.36
11-Sep,13254,Miramar,12,19,18.1,742.7,2.3,0.21,696,7.91,0.33
11-Sep,13255,Miramar,12,22,15.8,742.7,4.4,0.13,560,7.9,0.33
11-Sep,13254,Poway,12,1,25.6,735.7,82.4,6.44,832,8.46,0.4
11-Sep,13254,Poway,12,3,25.4,735.8,58.9,4.67,828,8.53,0.4
11-Sep,13254,Poway,12,5,25.3,735.8,57.8,4.52,828,8.51,0.4
11-Sep,13254,Poway,12,7,25.3,735.7,55,4.41,828,8.5,0.4
11-Sep,13254,Poway,12,9,25.3,735.6,55.7,4.43,830,8.5,0.4
11-Sep,13254,Poway,12,11,25.2,735.5,56.1,4.46,830,8.46,0.4
11-Sep,13254,Poway,12,13,25.2,735.5,62.7,5.01,830,8.45,0.4
11-Sep,13254,Poway,12,15,25.2,735.5,61,4.75,823,8.44,0.4
18-Sep,13261,Murray,13,1,26,743.7,87.6,6.49,839,9.03,0.39
18-Sep,13261,Murray,13,2,26.1,743.7,89.4,7.04,850,8.87,0.41
18-Sep,13261,Murray,13,3,26.1,743.6,73,8.22,763,8.78,0.37
18-Sep,13261,Murray,13,4,26.1,743.7,68,6.81,784,8.75,0.37
18-Sep,13261,Murray,13,5,26,743.7,67,5.35,830,8.72,0.38
18-Sep,13261,Murray,13,7,25.3,743.6,63.4,4.56,847,8.6,0.37
18-Sep,13261,Murray,13,9,24.5,743.7,12.3,0.98,838,8.23,0.37
18-Sep,13261,Murray,13,11,23.3,743.7,4.2,0.39,818,8.15,0.37
18-Sep,13261,Murray,13,13,19.9,743.7,2.7,0.24,693,8.03,0.38
18-Sep,13261,Murray,13,15,16.3,743.7,2.6,0.23,620,8,0.38
18-Sep,13261,Murray,13,17,16,743.7,2.7,0.23,628,7.98,0.37
18-Sep,13261,Miramar,13,1,27.3,743.2,82.3,6.4,953,8.39,0.39
