lake,date,julian_date,fraction_of_sample_counted,depth,nauplii,daphnia_pulex,daphnia_lumholtzi,adult_calanoid,juvenile_calanoid,adult_cyclopoid,juvenile_cyclopoid,ostracod,bosmina,neonate_daphnia,daphnia_longiremis,daphnia_ambigua,total_abundance
Poway,26-Jun,13177,64,32,30,111,0,4,58,5,18,0,0,0,0,0,226
Miramar,26-Jun,13177,32,26,94,84,1,9,12,9,21,0,2,4,0,0,236
Murray,26-Jun,13177,16,17,303,4,35,1,1,1,20,7,0,0,0,0,372
Murray,03-Jul,13184,64,17,181,0,57,1,2,7,19,2,147,6,0,0,422
Poway,03-Jul,13184,32,32,107,48,0,29,53,12,49,0,0,2,0,0,300
Miramar,03-Jul,13184,32,26,228,88,0,13,44,19,74,1,0,7,0,0,474
Murray,10-Jul,13191,32,15,317,0,4,0,0,63,18,37,0,0,0,0,439
Miramar,10-Jul,13191,32,26,48,104,0,26,0,37,30,0,0,9,27,8,289
Poway,10-Jul,13191,32,32,133,9,0,57,9,48,38,0,0,1,0,0,295
Murray,17-Jul,13198,32,13,308,1,2,0,0,51,11,0,9,0,0,0,382
Poway,17-Jul,13198,64,32,347,54,0,153,15,159,82,0,0,4,0,7,821
Miramar,17-Jul,13198,64,26,217,57,0,14,12,40,31,0,0,0,0,26,180
Murray,24-Jul,13205,32,13,158,2,2,3,0,60,14,12,0,0,0,0,251
Miramar,24-Jul,13205,32,24,129,108,1,12,10,45,18,0,0,2,0,4,329
Poway,24-Jul,13205,64,32,148,48,0,142,19,169,120,0,0,2,0,5,717
Poway,31-Jul,13212,128,25,83,54,0,51,0,98,41,0,0,5,0,2,334
Miramar,31-Jul,13212,32,23,121,57,0,7,24,30,10,0,0,2,0,9,260
Murray,31-Jul,13212,16,15,58,1,23,0,0,48,68,4,11,0,0,0,213
Miramar,07-Aug,13219,32,23,140,30,0,12,10,45,21,0,0,0,0,18,276
Poway,07-Aug,13219,64,21,159,85,0,95,12,55,83,0,0,0,0,0,489
Murray,07-Aug-13,13219,32,15,183,0,6,0,8,49,39,0,6,0,0,0,291
Poway,14-Aug-13,13226,64,22,153,109,0,189,25,80,106,0,0,0,0,1,663
Murray,19-Aug-13,13229,33,14,307,1,1,0,6,43,41,0,7,0,0,0,403
Miramar,14-Aug-13,13226,64,24,84,7,0,15,6,55,9,0,0,0,2,16,194
Poway,21-Aug,13233,128,23,83,43,0,48,16,134,88,0,0,0,0,22,434
Murray,21-Aug-13,13233,16,16,157,3,0,10,4,12,11,0,0,0,1,5,202
Miramar,21-Aug-13,13233,17,23.5,106,21,2,26,27,54,3,1,0,4,0,45,282
Poway,28-Aug-13,13240,64,23,142,38,1,116,26,35,99,0,0,0,0,38,495
Murray,28-Aug-13,13240,32,14,183,0,6,0,8,49,39,0,6,0,0,0,291
Miramar,28-Aug-13,13240,4,24,167,6,3,4,6,17,13,3,0,0,7,0,226
Miramar,04-Sep-13,13247,32,24,101,29,0,9,8,35,16,0,0,0,0,5,203
Murray,04-Sep-13,13247,16,15,191,1,0,1,1,34,17,0,4,0,0,0,249
Poway,04-Sep-13,13247,64,15,190,22,0,58,12,29,58,0,0,1,0,25,395
Murray,11-Sep-13,13254,16,15,251,0,1,0,4,40,29,1,6,0,0,0,332
Poway,11-Sep-13,13254,64,14,150,52,0,49,12,12,41,0,0,2,0,12,332
Miramar,11-Sep-13,13254,32,24,57,43,1,20,21,71,6,0,0,4,0,8,231
Murray,18-Sep-13,13261,32,16,233,0,2,0,5,78,0,1,17,0,0,0,336
Poway,18-Sep-13,13261,64,14,91,37,0,75,30,55,2,0,0,2,19,0,311
Miramar,18-Sep-13,13261,32,24,120,5,0,12,11,63,1,0,0,0,0,2,214
Miramar,24-Sep,13267,32,24,83,53,0,11,6,33,33,0,0,0,0,0,219
Murray,24-Sep,13267,16,14,297,5,1,0,1,41,91,1,28,0,0,0,465
Poway,24-Sep,13267,16,6,109,2,2,99,59,6,99,2,0,0,0,0,376
Murray,04-Oct,13277,32,14,402,0,9,4,14,7,113,0,8,0,0,0,557
Miramar,04-Oct,13277,32,24,131,58,0,34,70,15,100,0,1,14,0,17,423
Poway,05-Oct,13278,16,10.5,46,0,0,23,77,15,74,1,0,4,91,0,330
Murray,10-Oct,13283,64,15,352,0,26,0,9,140,50,64,0,0,0,0,641
Miramar,10-Oct,13283,32,24,89,30,5,57,11,107,30,0,2,1,1,10,343
Poway,12-Oct,13285,32,10,17,22,0,54,29,10,28,1,1,2,6,30,200
Murray,18-Oct-13,13291,64,14,163,0,60,0,2,65,5,1,7,2,0,0,305
Miramar,18-Oct-13,13291,64,24,77,57,0,11,10,43,9,0,4,2,0,2,215
Poway,20-Oct-13,13293,64,10,45,40,0,69,4,33,41,0,0,4,0,4,240
Poway,27-Oct,13300,64,12,37,0,0,53,7,38,81,0,0,9,78,0,303
